,tag,patterns,responses
146,library_hours,"What are the university library hours?, What time does the university library open?, What time does the university library closes?",['The university library is open on Mondays-Friday from 8:00 AM - 7:00 PM and on Saturdays from 8:00 AM - 5:00 PM']
147,library_hours1,"Is the university library open during Saturdays?, Is the university library open on weekends?","['Yes, the university library is open during Saturdays from 8:00 AM - 5:00 PM']"
148,other_researchers,"Are outsiders allowed to enter the university library?, I am not a Bicol University student, am I allowed to visit the university library?","[""Researchers who are not bona fide students of the University may be allowed to use the library information resources/facilities of the different unit/college libraries upon payment of a library fee; wherein the amount to be paid depends on the classification of the researcher or external user. Just present your Validated School/Office ID, Referral letter issued by your librarian or administrator and any Valid ID (Voter's, Postal, Driver's License) for Walk-in/Non-Academe-based Researchers and Out-of-School Youths""]"
149,medical_and_dental_services,"What medical services does the BU Medical Clinic offers?, What medical services can I get from BU Medical Clinic?",['The Medical & Dental Clinic provides the basic health services to the students and personnel namely: \\n 1. Conduct of Physical Health Examination;\\n2. Giving attention to daily consultations and treatments;\\n3. Issuance of medical certificates;\\n4. Giving attention to emergency cases/during athletics;\\5. Making referrals of special cases to proper authorities;\\n6. Conduct of lectures/counseling on management of illness; and\\n7. Establishment of linkages among other health agencies.']
150,medical_and_dental_services1,"What dental services does the BU Dental Clinic offers?, What dental services can I get from BU Dental Clinic?","['The Medical and Dental Clinic provides services like:\\n1. Conduct of Annual Dental Examination for Elementary, High School & Senior High School Students;\\n2. Giving attention to dental consultations and treatments;\\n3. Performance of oral prophylaxis;\\n4. Performance of dental extraction;\\n5. Making referrals of special cases to proper authorities; 6. Conduct of chair side instruction/ lectures; and\\n6. Issuance of dental certificates.']"
151,medical_and_dental_services2,"How can I avail the medical and dental services from BU Medical and Dental Clinic?, What are the requirements in availing medical and dental services from BU Medical and Dental Clinic?",['You are required to present your university ID to avail of these free health services.']
152,medical_and_dental_services3,"What are the university Medical and Dental Clinic hours?, What time does the university Medical and Dental Clinic open?, What time does the university Medical and Dental Clinic closes?","['The university Medical and Dental Clinic is open from Monday to Friday (8:00-12:00 AM, 1:00-8:00 PM) and Saturday (8:00-12:00 AM).']"
153,minor_offenses,"What are the minor offenses for violating the university rules and regulation?, What are the sanctions or penalties for violating the university rules and regulation?",['First Offense - Reprimand\\nSecond Offense - Written Warning\\nThird Offense - Community Service\\nFourth Offense - Suspension for 7 to 14 days']
154,major_offenses,What are the offenses for bullying?,['First Offense - Reprimand\\nSecond Offense - Suspension of 3 months and 1 day to 6 months\\nThird Offense - Suspension of 6 months and 1 day to 1 year']
155,major_offenses1,What are the offenses for Carrying of firearms and other Dangerous Weapons?,['First Offense - Suspension of 1 week - 6 months\\nSecond Offense - Suspension of 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
156,major_offenses2,What are the offenses for Creating Disorder or Disturbance within the University?,['First Offense - Suspension of 1 week - 6 months\\nSecond Offense - Suspension of 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
157,major_offenses3,"What are the offenses for Destruction of Any Property of the University, Its Guests, Employees or Students?",['First Offense - Suspension of 1 week - 6 months and payment of the value involved and/or replacement of the damaged property\\nSecond Offense - Suspension of 6 months and 1 day to 1 year and payment of the value involved and/or replacement of the damaged property\\nThird Offense - Dismissal']
158,major_offenses4,What are the offenses for Drinking of Alcoholic Beverages or Manifesting Drunken Behavior within the university premises?,['First Offense - Reprimand\\nSecond Offense - Suspension of 3 months and 1 day to 6 months\\nThird Offense - Dismissal']
159,major_offenses5,What are the offenses for Falsification of Official Document?,['First Offense - Dismissal']
160,major_offenses6,What are the offenses for Gambling?,['First Offense - Reprimand\\nSecond Offense - Suspension of 3 months and 1 day to 6 months\\nThird Offense - Dismissal']
161,major_offenses7,What are the offenses for Hazing of any variety inside or outside the premisesof the Bicol University by any fraternity/sorority or individual or a group representing an accredited B.U. Organization?,['First Offense - Dismissal']
162,major_offenses8,What are the offenses for Malversation or Unlawful Disbursement of school funds?,['First Offense - Suspension 1 week - 6 months and payment of the value involved\\nSecond Offense - Suspension 6 months and 1 day to 1 year and payment of the value involved\\nThird Offense -  Dismissal']
163,major_offenses9,What are the offenses for Plagiarism?,"['First Offense\\n1. Written warning; or\\n2. Loss of credit for the work involved;\\n3. Reduction of grades; or\\n4. All of the foregoing penalties - depending on the extent of the act committed, subject to the discretion of the investigating commit- tee.\\n\\nSecond Offense - Suspension 6 months and 1 day to 1 year\\nThird Offense - Dismissal']"
164,major_offenses10,What are the offenses for Possession of prohibited drugs or chemicals?,['First Offense - Suspension of 1 week to 6 months\\nSecond Offense - Suspension of 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
165,major_offenses11,What are the offenses for Photo or Video Voyeurism?,['First Offense - Suspension 6 months and 1 day to 1 year\\nSecond Offense - Dismissal']
166,major_offenses12,What are the offenses for Sexual Harassment?,['First Offense - Suspension of not more than 30 calendar days\\nSecond Offense - Suspension of 1 to 2 semesters\\nThird Offense - Dismissal']
167,major_offenses13,What are the offenses for Stalking?,['First Offense - Reprimand\\nSecond Offense - Suspension of 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
168,major_offenses14,What are the offenses for Theft of property belonging to the University community or a guest of the University?,['First Offense - Suspension of 1 week to 6 months\\nSecond Offense - Suspension 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
169,major_offenses15,What are the offenses for Unauthorized solicitation of contribution/ donation using the name of the University?,['First Offense - Suspension 1 week to 6 months\\nSecond Offense - Suspension 6 months and 1 day to 1 year\\nThird Offense - Dismissal']
