question,answer,final_answer,dynamic
181,Contact details of Prof. Jerry S. Bigornia,you can reach the vp for planning and development of bicol university through his telephone no. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,You can reach the VP for Planning and Development of Bicol University through his Telephone No. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,1
182,email of VP for Planning and Development,you can email the vp for planning and development at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,you can email the VP for Planning and Development at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,1
183,email of Prof. Jerry S. Bigornia,you can email the vp for planning and development at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,you can email the VP for Planning and Development at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,1
184,How can I contact the VP for Research Development and Extension,you can reach the vp for research development and extension of bicol university through the following address: capaamano@yahoo.com ,You can reach the VP for Research Development and Extension of Bicol University through the following address: capaamano@yahoo.com ,1
185,Contact Details VP for Research Development and Extension,you can reach the vp for research development and extension of bicol university through the following address: capaamano@yahoo.com ,You can reach the VP for Research Development and Extension of Bicol University through the following address: capaamano@yahoo.com ,1
186,Contact details of Dr. Luis Amano ,you can reach the vp for research development and extension of bicol university through the following address: capaamano@yahoo.com ,You can reach the VP for Research Development and Extension of Bicol University through the following address: capaamano@yahoo.com ,1
187,email of VP for Research Development and Extension,you can email the vp for research development and extension at these addresses: capaamano@yahoo.com ,you can email the VP for Research Development and Extension at these addresses: capaamano@yahoo.com ,1
188,email of Dr. Luis Amano ,you can email the vp for research development and extension at these addresses: capaamano@yahoo.com ,you can email the VP for Research Development and Extension at these addresses: capaamano@yahoo.com ,1
189,How can I contact the Acting University & Board Secretary,you can reach the bicol university acting university & board secretary through his telephone no. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,You can reach the Bicol University Acting University & Board Secretary through his Telephone No. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,1
190,Contact Details Acting University & Board Secretary,you can reach the bicol university acting university & board secretary through his telephone no. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,You can reach the Bicol University Acting University & Board Secretary through his Telephone No. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,1
191,Contact details of Atty. Norly P. Reyes,you can reach the bicol university acting university & board secretary through his telephone no. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,You can reach the Bicol University Acting University & Board Secretary through his Telephone No. (052) 821-7946 or you can email at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph,1
192,email of Acting University & Board Secretary,you can email the acting university & board secretary at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph ,you can email the Acting University & Board Secretary at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph ,1
193,email of Atty. Norly P. Reyes,you can email the acting university & board secretary at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph ,you can email the Acting University & Board Secretary at these addresses: npreyes@bicol-u.edu.ph or boardsec@bicol-u.edu.ph ,1
194,"How can I contact the Chief, Administrative Services Division",you can reach the chief of administrative services division through his telephone no. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,You can reach the Chief of Administrative Services Division through his Telephone No. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,1
195,"Contact Details Chief, Administrative Services Division",you can reach the chief of administrative services division through his telephone no. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,You can reach the Chief of Administrative Services Division through his Telephone No. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,1
196,Contact details Atty. Norly P. Reyes,you can reach the chief of administrative services division through his telephone no. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,You can reach the Chief of Administrative Services Division through his Telephone No. (052) 480-5464 or you can email at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,1
197,"email of Chief, Administrative Services Division",you can email the chief of administrative services division at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,you can email the Chief of Administrative Services Division at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,1
198,email of Atty. Norly P. Reyes,you can email the chief of administrative services division at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,you can email the Chief of Administrative Services Division at these addresses: npreyes@bicol-u.edu.ph; bu-legaloffice@bicol-u.edu.ph,1
199,Arnulfo M. Mascariñas,he is the current president of bicol university.,He is the current President of Bicol University.,1
200,Prof. Jocelyn E. Serrano,she is the dean of college of science.,She is the Dean of College of Science.,1
201,Dr. Leticia M. Lopez,she is the dean of college of arts and letters.,She is the Dean of College of Arts and Letters.,1
202,Dr. Jean Annette S. Ibo,she is the dean of college of nursing.,She is the Dean of College of Nursing.,1
203,Prof. Carina L. Sales,she is the director of institute of physical education sports and recreation.,She is the Director of Institute of Physical Education Sports and Recreation.,1
204,Dr. Noemi L. Ibo,she is the director of jesse m. robredo institute of governance and development.,She is the Director of Jesse M. Robredo Institute Of Governance And Development.,1
205,Dr. Lorna M. Miña,she is the dean of college of education.,She is the Dean of College of Education.,1
206,Dr. Herbert B. Rosana,he is the dean of graduate school.,He is the Dean of Graduate School.,1
207,Dr. Ramesis M. Lorino,he is the dean of open university.,He is the Dean of Open University.,1
208,Dr. Ruben Caragay,he is the dean of college of medicine.,He is the Dean of College of Medicine.,1
209,Atty. Hardy B. Aquende,he is the dean of college of law.,He is the Dean of College of Law.,1
210,Dr. Eddie S. See ,he is the dean of college of business economics and management.,He is the Dean of College Of Business Economics and Management.,1
211,Atty. Alex B. Nepomuceno,he is the dean of college of social science and philosophy.,He is the Dean of College of Social Science and Philosophy.,1
212,Ar. Leo A. Del Rosario,he is the director of institute of architecture.,He is the Director of Institute of Architecture.,1
213,Engr. Amelia A. Gonzales,she is the dean of college of engineering.,She is the Dean of College of Engineering.,1
214,Dr. Jonathan Arroco,he is the dean of college of industrial technology.,He is the Dean of College of Industrial Technology.,1
215,Prof. Domingo Ll. Nace,he is the dean of the college of agriculture and forestry.,He is the Dean of the College of Agriculture and Forestry.,1
216,Dr. Maria Giselle N. Mortega,she is the dean of the bicol university tabaco campus.,She is the Dean of the Bicol University Tabaco Campus.,1
217,Prof. Mary Joy B. Catangui ,she is the dean of the bicol university polangui campus.,She is the Dean of the Bicol University Polangui Campus.,1
218,Dr. Rosemarie R. Jadie,she is the director of the bicol university gubat campus.,She is the Director of the Bicol University Gubat Campus.,1
219,Ms. Veronica O. Gomez.,she is the registrar of graduate school.,She is the registrar of Graduate School.,1
220,Ms. Ada O. Camba.,she is the registrar of college of agriculture and forestry.,She is the registrar of College of Agriculture and Forestry.,1
221,Ms. Catherine D. Lagata.,she is the registrar of college of social science and philosophy.,She is the registrar of College of Social Science and Philosophy.,1
222,Mr. Salvador M. Abiño.,he is the registrar of college of business economics and management.,He is the registrar of College of Business Economics and Management.,1
223,Ms. Jane B. Siapno.,she is the registrar of college of education.,She is the registrar of College of Education.,1
224,Ms. Ruby L. Rivero.,she is the registrar of college of engineering.,She is the registrar of College of Engineering.,1
225,Ms. Teresita P. Baloloy.,she is the registrar of college of nursing.,She is the registrar of College of Nursing.,1
226,Ms. Ana B. Del Ayre.,she is the registrar of college of industrial technology.,She is the registrar of College of Industrial Technology.,1
227,Mr. Antonio R. Lleva.,she is the registrar of college of arts and letters.,She is the registrar of College of Arts and Letters.,1
228,Ms. Sharlene A. Mendizabal.,she is the registrar of college of science.,She is the registrar of College of Science.,1
229,Ms. Sheila Marie Magalona.,she is the registrar of college of medicine.,She is the registrar of College of Medicine.,1
230,Ms. Ruby L. Rivero.,she is the registrar of institute of architecture.,She is the registrar of Institute of Architecture.,1
231,Ms. Lily Lolo.,she is the registrar of polangui campus.,She is the registrar of Polangui Campus.,1
232,Ms. Wilhelmina B. Henson.,she is the registrar of tabaco campus.,She is the registrar of Tabaco Campus.,1
233,Ms. Maria Rechel M. Marcaida.,she is the registrar of gubat campus.,She is the registrar of Gubat Campus.,1
234,Where to get a copy of the scholarship form?,"get your copy here, https://bit.ly/osas-scholarship-form","Get your copy here, https://bit.ly/osas-scholarship-form",1
235,What are the existing student organizations in BU?,"here is the list, https://bit.ly/bu-accredited-orgs","Here is the list, https://bit.ly/bu-accredited-orgs",1
236,Uniform for Bicol University,"get a copy here, https://bit.ly/bu-uniform","Get a copy here, https://bit.ly/bu-uniform",1
237,Schedule of Midterm examination for Second Semester,"the schedule of midterm examination for second semester is on march 3-5, 2022 for graduating students and march 17-19, 2022 for non-graduating students.","The schedule of Midterm examination for Second Semester is on March 3-5, 2022 for Graduating Students and March 17-19, 2022 for Non-Graduating Students.",1
238,Schedule of Final examination for 2nd Semester,"the schedule of final examination 2nd semester is on april 25-27,2022 for graduating students and may 21-24,2022 for non-graduating students.","The schedule of Final examination 2nd Semester is on April 25-27,2022 for Graduating Students and May 21-24,2022 for Non-Graduating Students.",1
239,Last day of classes for 2021-2022,may 24 is the last day of classes for 2021-2022.,May 24 is the last day of classes for 2021-2022.,1
240,Deadline of submission of grades for 2nd Semester,may 12 is the deadline of submission of grades for 2nd semester for graduating students and june 8 for non-graduating students.,May 12 is the deadline of submission of grades for 2nd Semester for Graduating Students and June 8 for Non-Graduating Students.,1
241,Date of Enrollment for Midyear Classes,enrollment period is from june 6 to 13.,Enrollment Period is from June 6 to 13.,1
242,Start of Mid year classes,june 13 is the start of mid year classes.,June 13 is the start of mid year classes.,1
243,Schedule of Midterm examination for mid year classes,it's from june 30 to july 2.,It's from June 30 to July 2.,1
244,When is the graduation?,july 9 is the schedule for the commencement exercises.,July 9 is the schedule for the commencement exercises.,1
245,Schedule of Final examination for mid year classes,schedule is from july 21 to 23.,Schedule is from July 21 to 23.,1
246,Enrollment Period for 2022-2023,the enrollment period is from july 25 to 29 and august 1 to 13.,The enrollment period is from July 25 to 29 and August 1 to 13.,1
247,When is the start of classes for 2022-2023?,"the start of classes for 2022-2023 is on august 3 for elementary, junior and senior high school and august 15 for tertiary level.","The start of classes for 2022-2023 is on August 3 for Elementary, Junior and Senior High School and August 15 for tertiary level.",1
248,Schedule of admission?,"as of now, there is still no definite schedule for admission for the academic year 2022-2023.","As of now, there is still no definite schedule for admission for the Academic Year 2022-2023.",1
249,Who is the President of Bicol University?,the current university president is dr. arnulfo m. mascariñas.,The current university president is Dr. Arnulfo M. Mascariñas.,1
250,Who is the dean of college of science?,prof. jocelyn e. serrano is the dean of college of science.,Prof. Jocelyn E. Serrano is the Dean of College of Science.,1
251,How can I contact the dean of the college of science?,the dean's telephone number is (052) 481-2159 and email address is jeserrano@bicol-u.edu.ph.,The dean's telephone number is (052) 481-2159 and email address is jeserrano@bicol-u.edu.ph.,1
252,Who is the dean of college of arts and letters?,dr. leticia m. lopez is the dean of college of arts and letters.,Dr. Leticia M. Lopez is the Dean of College of Arts and Letters.,1
253,How can I contact the dean of the college of arts and letters?,the dean's telephone number is telephone number is (052) 481-5280,The dean's telephone number is telephone number is (052) 481-5280,1
254,Who is the dean of college of nursing?,dr. jean annette s. ibo is the dean of college of nursing.,Dr. Jean Annette S. Ibo is the Dean of College of Nursing.,1
255,How can I contact the dean of the college of nursing?,the dean's telephone number is (052) 480-0610 and email address is bicoluniversity.collegeofnursing@yahoo.com.,The dean's telephone number is (052) 480-0610 and email address is bicoluniversity.collegeofnursing@yahoo.com.,1
256,Who is the director of Institute of Physical Education Sports and Recreation?,prof. carina l. sales is the director of institute of physical education sports and recreation.,Prof. Carina L. Sales is the Director of Institute of Physical Education Sports and Recreation.,1
257,How can I contact the dean of the Institute of Physical Education Sports and Recreation?,the dean's telephone number is (052) 483-0758,The dean's telephone number is (052) 483-0758,1
258,Who is the director of Jesse M. Robredo Institute Of Governance And Development?,dr. noemi l. ibo is the director of jesse m. robredo institute of governance and development.,Dr. Noemi L. Ibo is the Director of Jesse M. Robredo Institute Of Governance And Development.,1
259,How can I contact the dean of the Jesse M. Robredo Institute Of Governance And Development?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
260,Who is the dean of College of Education?,dr. lorna m. miña is the dean of college of education.,Dr. Lorna M. Miña is the Dean of College of Education.,1
261,How can I contact the dean of the College of Education?,the dean's telephone number is (052) 483-0487 and email address bicolmentors_08@yahoo.com or lornsmm@yahoo.com,The dean's telephone number is (052) 483-0487 and email address bicolmentors_08@yahoo.com or lornsmm@yahoo.com,1
262,Who is the dean of Graduate School?,dr. herbert b. rosana is the dean of the graduate school.,Dr. Herbert B. Rosana is the Dean of the Graduate School.,1
263,How can I contact the dean of the Graduate School?,the dean's telephone number is (052) 481-1454 and email address is bugs-dean@bicol-u.edu.ph.,The dean's telephone number is (052) 481-1454 and email address is bugs-dean@bicol-u.edu.ph.,1
264,Who is the dean of Open University?,dr. ramesis m. lorino is the dean of the open university.,Dr. Ramesis M. Lorino is the Dean of the Open University.,1
265,How can I contact the dean of the Open University?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
266,Who is the dean of College of Medicine?,dr. ruben caragay is the dean of college of medicine.,Dr. Ruben Caragay is the Dean of College of Medicine.,1
267,How can I contact the dean of the College of Medicine?,the dean's telephone number is (052) 742-0076 and email address rncaragay@bicol-u.edu.ph or bucm-dean@bicol-u.edu.ph.,The dean's telephone number is (052) 742-0076 and email address rncaragay@bicol-u.edu.ph or bucm-dean@bicol-u.edu.ph.,1
268,Who is the dean of College of Law?,atty. hardy b. aquende is the dean of college of law.,Atty. Hardy B. Aquende is the Dean of College of Law.,1
269,How can I contact the dean of the College of Law?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
270,Who is the dean of College Of Business Economics and Management?,dr. eddie s. see is the dean of college of business economics and management.,Dr. Eddie S. See is the Dean of College of Business Economics and Management.,1
271,How can I contact the dean of the College Of Business Economics and Management?,"you can contact him through email, bucbem@bicol-u.edu.ph or ess4560@bicol-u.edu.ph.","You can contact him through email, bucbem@bicol-u.edu.ph or ess4560@bicol-u.edu.ph.",1
272,Who is the dean of College of Social Science and Philosophy?,atty. alex b. nepomuceno is the dean of college of social science and philosophy.,Atty. Alex B. Nepomuceno is the Dean of College of Social Science and Philosophy.,1
273,How can I contact the dean of the College of Social Science and Philosophy?,"you can contact him through email, abnepomuceno@bicol-u.edu.ph or bucssp-dean@bicol-u.edu.ph.","You can contact him through email, abnepomuceno@bicol-u.edu.ph or bucssp-dean@bicol-u.edu.ph.",1
274,Who is the director of Institute of Architecture?,ar. leo a. del rosario is the director of institute of architecture.,Ar. Leo A. Del Rosario is the director of Institute of Architecture.,1
275,How can I contact the director of the Institute of Architecture?,the dean's telephone number is (052) 742-6728 and email address ronacionaljr@bicol-u.edu.ph or buia@bicol-u.edu.ph.,The dean's telephone number is (052) 742-6728 and email address ronacionaljr@bicol-u.edu.ph or buia@bicol-u.edu.ph.,1
276,Who is the dean of College of Engineering?,engr. amelia a. gonzales is the dean of college of engineering.,Engr. Amelia A. Gonzales is the Dean of College of Engineering.,1
277,How can I contact the dean of the College of Engineering?,the dean's telephone number is (052) 742-4091 and email address bucengdean@gmail.com or abbg0116@yahoo.com.,The dean's telephone number is (052) 742-4091 and email address bucengdean@gmail.com or abbg0116@yahoo.com.,1
278,Who is the dean of College of Industrial Technology?,dr. jonathan arroco is the dean of college of industrial technology.,Dr. Jonathan Arroco is the Dean of College of Industrial Technology.,1
279,How can I contact the dean of the College of Industrial Technology?,the dean's telephone number is (052) 480-4595 and email address jcarroco@bicol-u.edu.ph or bucit-dean@bicol-u.edu.ph.,The dean's telephone number is (052) 480-4595 and email address jcarroco@bicol-u.edu.ph or bucit-dean@bicol-u.edu.ph.,1
280,Who is the dean of the College of Agriculture and Forestry?,prof. domingo ll. nace is the dean of college of agriculture and forestry.,Prof. Domingo Ll. Nace is the Dean of College of Agriculture and Forestry.,1
281,How can I contact the dean of the College of Agriculture and Forestry?,the dean's telephone number is (052) 484-6336 and email address bucaf100@bicol-u.edu.ph,The dean's telephone number is (052) 484-6336 and email address bucaf100@bicol-u.edu.ph,1
282,Who is the dean of the Bicol University Tabaco Campus?,dr. maria giselle n. mortega is the dean of the bicol university tabaco campus.,Dr. Maria Giselle N. Mortega is the dean of the Bicol University Tabaco Campus.,1
283,How can I contact the dean of the Bicol University Tabaco Campus?,"the dean's telephone number is (052) 487-5247, (052) 257-7090, (052) 830-0012 and email address butc-dean@bicol-u.edu.ph","The dean's telephone number is (052) 487-5247, (052) 257-7090, (052) 830-0012 and email address butc-dean@bicol-u.edu.ph",1
284,Who is the dean of the Bicol University Polangui Campus?,prof. mary joy b. catangui is the dean of the bicol university polangui campus.,Prof. Mary Joy B. Catangui is the dean of the Bicol University Polangui Campus.,1
285,How can I contact the dean of the Bicol University Polangui Campus?,"the dean's telephone number is (052) 437-2852, (052)212-5498, (052) 835-0560 and email address bupc-dean@bicol-u.edu.ph","The dean's telephone number is (052) 437-2852, (052)212-5498, (052) 835-0560 and email address bupc-dean@bicol-u.edu.ph",1
286,Who is the director of the Bicol University Gubat Campus?,dr. rosemarie r. jadie is the director of the bicol university gubat campus.,Dr. Rosemarie R. Jadie is the director of the Bicol University Gubat Campus.,1
287,How can I contact the director of the Bicol University Gubat Campus?,the dean's telephone number is (056)311-1145 and email address rrjadie@bicol-u.edu.ph or bugc-dean@bicol-u.edu.ph,The dean's telephone number is (056)311-1145 and email address rrjadie@bicol-u.edu.ph or bugc-dean@bicol-u.edu.ph,1
288,Who is the registrar of Graduate School?,ms. veronica o. gomez is the registrar of graduate school.,Ms. Veronica O. Gomez is the registrar of Graduate School.,1
289,How can I contact the registrar of Graduate School?,their telephone number is (052) 481-7881 and email address is vogomez@bicol-u.edu.ph or bugsreg@bicol-u.edu.ph.,Their telephone number is (052) 481-7881 and email address is vogomez@bicol-u.edu.ph or bugsreg@bicol-u.edu.ph.,1
290,Who is the registrar of College of Agriculture and Forestry?,ms. ada o. camba is the registrar of college of agriculture and forestry.,Ms. Ada O. Camba is the registrar of College of Agriculture and Forestry.,1
291,How can I contact the registrar of College of College of Agriculture and Forestry?,their email address is ancamba@bicol-u.edu.ph or bucafreg@bicol-u.edu.ph,Their email address is ancamba@bicol-u.edu.ph or bucafreg@bicol-u.edu.ph,1
292,Who is the registrar of College of Social Science and Philosophy?,ms. catherine d. lagata is the registrar of college of social science and philosophy.,Ms. Catherine D. Lagata is the registrar of College of Social Science and Philosophy.,1
293,How can I contact the registrar of College of Social Science and Philosophy?,their email address is cdlagata@bicol-u.edu.ph or bucsspreg@bicol-u.edu.ph,Their email address is cdlagata@bicol-u.edu.ph or bucsspreg@bicol-u.edu.ph,1
294,Who is the registrar of College of Business Economics and Management?,mr. salvador m. abiño is the registrar of college of business economics and management.,Mr. Salvador M. Abiño is the registrar of College of Business Economics and Management.,1
295,How can I contact the registrar of College of Business Economics and Management?,their email address is smabino@bicol-u.edu.ph or bucbemreg@bicol-u.edu.ph.,Their email address is smabino@bicol-u.edu.ph or bucbemreg@bicol-u.edu.ph.,1
296,Who is the registrar of College of Education?,ms. jane b. siapno is the registrar of college of education.,Ms. Jane B. Siapno is the registrar of College of Education.,1
297,How can I contact the registrar of College of Education?,their telephone number is (052) 481-5975 and email address is jbsiapno@bicol-u.edu.ph or buce.registrar@bicol-u.edu.ph.,Their telephone number is (052) 481-5975 and email address is jbsiapno@bicol-u.edu.ph or buce.registrar@bicol-u.edu.ph.,1
298,Who is the registrar of College of Engineering?,ms. ruby l. rivero is the registrar of college of engineering.,Ms. Ruby L. Rivero is the registrar of College of Engineering.,1
299,How can I contact the registrar of College of Engineering?,their telephone number is (052) 742-4091 and email address is rlrivero@bicol-u.edu.ph or bucengreg@bicol-u.edu.ph,Their telephone number is (052) 742-4091 and email address is rlrivero@bicol-u.edu.ph or bucengreg@bicol-u.edu.ph,1
300,Who is the registrar of College of Nursing?,ms. teresita p. baloloy is the registrar of college of nursing.,Ms. Teresita P. Baloloy is the registrar of College of Nursing.,1
301,How can I contact the registrar of College of Nursing?,their telephone number is (052) 480-2760 and email address is bucnreg@bicol-u.edu.ph.,Their telephone number is (052) 480-2760 and email address is bucnreg@bicol-u.edu.ph.,1
302,Who is the registrar of College of Industrial Technology?,ms. ana b. del ayre is the registrar of college of industrial technology.,Ms. Ana B. Del Ayre is the registrar of College of Industrial Technology.,1
303,How can I contact the registrar of College of Industrial Technology?,their telephone number is (052) 431-1053 and email address is abdelayre@bicol-u.edu.ph or bucitreg@bicol-u.edu.ph.,Their telephone number is (052) 431-1053 and email address is abdelayre@bicol-u.edu.ph or bucitreg@bicol-u.edu.ph.,1
304,Who is the registrar of College of Arts and Letters?,mr. antonio r. lleva is the registrar of college of arts and letters.,Mr. Antonio R. Lleva is the registrar of College of Arts and Letters.,1
305,How can I contact the registrar of College of Arts and Letters?,their telephone number is (052) 481-6192 and email address is arlleva@bicol-u.edu.ph or bucalreg@bicol-u.edu.ph.,Their telephone number is (052) 481-6192 and email address is arlleva@bicol-u.edu.ph or bucalreg@bicol-u.edu.ph.,1
306,Who is the registrar of College of Science?,ms. sharlene a. mendizabal is the registrar of college of science.,Ms. Sharlene A. Mendizabal is the registrar of College of Science.,1
307,How can I contact the registrar of College of Science?,their telephone number is 481-1455 and email address is bucsreg@bicol-u.edu.,Their telephone number is 481-1455 and email address is bucsreg@bicol-u.edu.,1
308,Who is the registrar of College of Medicine?,ms. sheila marie magalona is the registrar of college of medicine.,Ms. Sheila Marie Magalona is the registrar of College of Medicine.,1
309,How can I contact the registrar of College of Medicine?,their telephone number is (052) 480-0700 and email address is smmmagalona@bicol-u.edu.ph or bucmreg@bicol-u.edu.ph.,Their telephone number is (052) 480-0700 and email address is smmmagalona@bicol-u.edu.ph or bucmreg@bicol-u.edu.ph.,1
310,Who is the registrar of College of Law?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
311,How can I contact the registrar of College of Law?,their contact number is 09177056069 and email address is buclreg@bicol-u.edu.ph,Their contact number is 09177056069 and email address is buclreg@bicol-u.edu.ph,1
312,Who is the registrar of College of Institute of Physical Education Sports and Recreation?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
313,How can I contact the registrar of College of Institute of Physical Education Sports and Recreation?,"unfortunately, we have no record as of the moment.","Unfortunately, we have no record as of the moment.",1
314,Who is the registrar of Institute of Architecture?,ms. ruby l. rivero is the registrar of institute of architecture.,Ms. Ruby L. Rivero is the registrar of Institute of Architecture.,1
315,How can I contact the registrar of Institute of Architecture?,their telephone number is (052) 742-4091 and email address is rlrivero@bicol-u.edu.ph,Their telephone number is (052) 742-4091 and email address is rlrivero@bicol-u.edu.ph,1
316,Who is the registrar of Polangui Campus?,ms. lily lolo is the registrar of polangui campus.,Ms. Lily Lolo is the registrar of Polangui Campus.,1
317,How can I contact the registrar of Polangui Campus?,their email address is lrlolo@bicol-u.edu.ph or bupcreg@bicol-u.edu.ph,Their email address is lrlolo@bicol-u.edu.ph or bupcreg@bicol-u.edu.ph,1
318,Who is the registrar of Tabaco Campus?,ms. wilhelmina b. henson is the registrar of tabaco campus.,Ms. Wilhelmina B. Henson is the registrar of Tabaco Campus.,1
319,How can I contact the registrar of Tabaco Campus?,their email address is wbhenson@bicol-u.edu.ph or butcreg@bicol-u.edu.ph,Their email address is wbhenson@bicol-u.edu.ph or butcreg@bicol-u.edu.ph,1
320,Who is the registrar of Gubat Campus?,ms. maria rechel m. marcaida is the registrar of gubat campus.,Ms. Maria Rechel M. Marcaida is the registrar of Gubat Campus.,1
321,Courses offered in BU,you may see the full list of offered courses in bicol university through this link https://bit.ly/courses-offered,You may see the full list of offered courses in Bicol University through this link https://bit.ly/courses-offered,1
322,Hello,"hello, how can i help?","Hello, how can I help?",0
323,Hi,"hello, how can i help?","Hello, how can I help?",0
324,Is anyone there?,"hello, how can i help?","Hello, how can I help?",0
325,Good day,"good day too, how can i help you?","Good day too, how can I help you?",0
326,Good Evening,good evening too!,Good evening too!,0
327,Good Afternoon,"good afternoon too, how can i help you?","Good afternoon too, how can I help you?",0
328,Good Morning,"good afternoon too, how can i help you?","Good afternoon too, how can I help you?",0
329,Good Morning,"good morning too, how can i help you?","Good morning too, how can I help you?",0
330,How are you,"i am fine, thank you for asking.","I am fine, thank you for asking.",0
331,Kamusta,"i am fine, thank you for asking.","I am fine, thank you for asking.",0
332,How are you feeling Bubot?,"i am fine, thank you for asking.","I am fine, thank you for asking.",0
333,Good bye,"thank you for visiting, bye!","Thank you for visiting, bye!",0
334,Bye,"thank you for visiting, bye!","Thank you for visiting, bye!",0
335,Good Night,"thank you for visiting, bye!","Thank you for visiting, bye!",0
336,Bye,"thank you for visiting, bye!","Thank you for visiting, bye!",0
337,See you later,"thank you for visiting, bye!","Thank you for visiting, bye!",0
338,Goodbye,"thank you for visiting, bye!","Thank you for visiting, bye!",0
339,"Nice chatting to you, bye","thank you for visiting, bye!","Thank you for visiting, bye!",0
340,Till next time,"thank you for visiting, bye!","Thank you for visiting, bye!",0
341,Thanks,you're welcome and i'm happy to help!,You're welcome and I'm happy to help!,0
342,Thank you,you're welcome and i'm happy to help!,You're welcome and I'm happy to help!,0
343,That is helpful,you're welcome and i'm happy to help!,You're welcome and I'm happy to help!,0
344,"Awesome, thanks",you're welcome and i'm happy to help!,You're welcome and I'm happy to help!,0
345,Thanks for helping me,you're welcome and i'm happy to help!,You're welcome and I'm happy to help!,0
346,How you could help me?,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
347,What you can do?,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
348,What help you provide?,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
349,How you can be helpful?,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
350,What support is offered,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
351,Who are you?,"hi! i'm bubot, an ai-powered chatbot and i can answer your queries about bicol university :)","Hi! I'm BUbot, an AI-powered chatbot and I can answer your queries about Bicol University :)",0
352,Who created you?,"i am a product of imagination and hardwork of reden mar bellen, chrizza mae ecal and erica vinas for their undergraduate thesis.","I am a product of imagination and hardwork of Reden Mar Bellen, Chrizza Mae Ecal and Erica Vinas for their undergraduate thesis.",0
353,Who made you?,"i am a product of imagination and hardwork of reden mar bellen, chrizza mae ecal and erica vinas for their undergraduate thesis.","I am a product of imagination and hardwork of Reden Mar Bellen, Chrizza Mae Ecal and Erica Vinas for their undergraduate thesis.",0
354,What is the Vision of Bicol University?,the university's vision is to become a world-class university producing leaders and change agents for social transformation and development.,The university's vision is to become A World-Class University Producing Leaders and Change Agents for Social Transformation and Development.,0
